2026-06-09 13:30:36 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:31:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:32:56 | MASUK BLOK SOSMED | MAC=2E:0D:FE:4B:94:4E | DST=tiktok.com
2026-06-09 13:34:16 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 13:34:26 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 13:34:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 13:34:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 13:34:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.168
2026-06-09 13:35:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 13:35:16 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 13:35:26 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:35:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.163
2026-06-09 13:36:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:36:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 13:37:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 13:40:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.162
2026-06-09 13:40:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.162
2026-06-09 13:42:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.162
2026-06-09 13:43:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.162
2026-06-09 13:43:26 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 13:43:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.162
2026-06-09 13:44:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 13:45:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:49:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:49:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-09 13:49:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-09 13:49:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.219.204.168
2026-06-09 13:52:16 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:52:26 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:52:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:53:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 13:53:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 13:54:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 13:55:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 13:56:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 13:58:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 14:00:26 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 14:00:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 14:02:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.53.15.138
2026-06-09 14:05:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 14:05:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktokv.com
2026-06-09 14:06:36 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 14:07:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 14:08:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:13:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:17:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:18:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:18:46 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:19:06 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 14:20:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:20:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:20:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=instagram.com
2026-06-09 14:25:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:25:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:26:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:26:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:26:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:27:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:28:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:28:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:28:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:28:56 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:29:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:29:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:29:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
